  File "C:\Users\Yasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\views.py", line 469, in handle_exception
    self.raise_uncaught_exception(exc)
  File "C:\Users\Yasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\views.py", line 480, in raise_uncaught_exception
    raise exc
  File "C:\Users\Yasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\views.py", line 506, in dispatch
    response = handler(request, *args, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Yasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\mixins.py", line 38, in list
    queryset = self.filter_queryset(self.get_queryset())
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Yasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\generics.py", line 154, in filter_queryset
    queryset = backend().filter_queryset(self.request, queryset, self)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Yasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django_filters\rest_framework\backends.py", line 66, in filter_queryset
    filterset = self.get_filterset(request, queryset, view)
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Yasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django_filters\rest_framework\backends.py", line 18, in get_filterset
    filterset_class = self.get_filterset_class(view, queryset)
                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Yasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django_filters\rest_framework\backends.py", line 49, in get_filterset_class
    class AutoFilterSet(self.filterset_base):
  File "C:\Users\Yasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django_filters\filterset.py", line 82, in __new__
    new_class.base_filters = new_class.get_filters()
                             ^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Yasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django_filters\filterset.py", line 371, in get_filters
    raise TypeError(
TypeError: 'Meta.fields' must not contain non-model field names: spot
WARNING 2025-03-19 15:39:40,878 log 12088 5064 Forbidden: /api/v1/users/users/
INFO 2025-03-19 15:39:40,884 basehttp 12088 17664 "GET /api/v1/parking/parking-lots/ HTTP/1.1" 200 52
WARNING 2025-03-19 15:39:40,885 basehttp 12088 5064 "GET /api/v1/users/users/ HTTP/1.1" 403 63
ERROR 2025-03-19 15:39:40,889 basehttp 12088 18760 "GET /api/v1/parking/reservations/ HTTP/1.1" 500 132368
INFO 2025-03-19 15:39:40,920 basehttp 12088 13760 "GET /api/v1/vehicles/vehicles/ HTTP/1.1" 200 52
ERROR 2025-03-19 15:39:41,049 log 12088 17664 Internal Server Error: /api/v1/parking/reservations/
Traceback (most recent call last):
  File "C:\Users\Yasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Yasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Yasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\decorators\csrf.py", line 65, in _view_wrapper
    return view_func(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
